"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs12248541-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],SH3PXD2A,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:103630585
rs2646928-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],CCDC167,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:37487051
rs27387-<b>A</b>,"1 x 10-6",,0.021,4.44,'-,[2.29-8.59],PRICKLE2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:64163491
rs28375794-<b>G</b>,"1 x 10-6",,0.033,3.76,'-,[2.12-6.66],"ADAM20P3, AC108073.3","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:187920332
rs342958-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"ARHGAP24, AC097488.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:85359485
rs351328-<b>A</b>,"7 x 10-6",,0.079,2.7,'-,[1.73-4.23],EPHA7,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:93373405
rs356150-<b>C</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"AC123786.3, RNA5SP461","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:77661491
rs3764044-<b>G</b>,"7 x 10-6",,0.03,3.68,'-,[2.01-6.74],SLCO1A2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:21275437
rs3796392-<b>A</b>,"2 x 10-6",,0.002,15.21,'-,[3.37-68.63],EFCAB12,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:129418284
rs3852186-<b>A</b>,"9 x 10-6",,0.046,3.17,'-,[1.86-5.42],"VCAN-AS1, VCAN","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:83549670
rs4143116-<b>A</b>,"4 x 10-6",,0.197,2.28,'-,[1.59-3.25],GLI2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:120863253
rs4635580-<b>A</b>,"2 x 10-6",,0.031,3.8,'-,[2.11-6.84],PTPRT,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",20:42321191
rs4748185-<b>A</b>,"1 x 10-6",,0.001,33.99,'-,[3.51-328.89],ITGA8,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:15612888
rs487836-<b>G</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],POLR2M,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:57741661
rs4954192-<b>A</b>,"6 x 10-7",,0.41,2.36,'-,[1.67-3.34],"CCNT2-AS1, ACMSD","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:134875411
rs55798256-<b>G</b>,"2 x 10-6",,0.059,3.1,'-,[1.91-5.02],"AC016885.2, LINC00535","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:93291573
rs55816310-<b>A</b>,"1 x 10-6",,0.001,33.91,'-,[3.51-328.09],"LINC01168, ADGRA1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:133019423
rs566767-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"ALDH1A2, POLR2M","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:57790169
rs56868568-<b>G</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],"AC003986.3, AC003986.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:19125257
rs59294057-<b>C</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"GFRA2, AC021355.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:21649156
rs59448276-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"KRT86, KRT81","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:52286982
rs59753639-<b>C</b>,"5 x 10-6",,0.007,6.77,'-,[2.62-17.46],"AC026310.1, C12orf77","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:24987756
rs60241046-<b>A</b>,"7 x 10-6",,0.018,4.48,'-,[2.19-9.17],"NOL4, ASXL3","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:33810904
rs6141-<b>?</b>,"3 x 10-6",,0.53226,2.3809524,'-,[1.64-3.45],THPO,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:184372478
rs61613191-<b>A</b>,"7 x 10-6",,0.004,9.56,'-,[2.88-31.7],AL035446.2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:140802574
rs61741390-<b>G</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],PARD3B,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:205440538
rs6436285-<b>G</b>,"5 x 10-6",,0.026,3.9,'-,[2.08-7.31],"RPL23AP28, HSPA9P1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:222005387
rs6442708-<b>A</b>,"4 x 10-7",,0.053,3.35,'-,[2.04-5.5],"RPL21P17, AC018814.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:1952960
rs6586977-<b>G</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],AC021355.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:21299082
rs66714249-<b>A</b>,"2 x 10-6",,0.005,8.66,'-,[2.96-25.31],SYT9,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:7379335
rs66785688-<b>G</b>,"5 x 10-6",,0.0261,3.9,'-,[2.08-7.31],LINC02698,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:115841215
rs67335251-<b>A</b>,"2 x 10-6",,0.059,3.06,'-,[1.89-4.96],ADCY9,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",16:4021721
rs6858365-<b>A</b>,"9 x 10-7",,0.015,5.21,'-,[2.51-10.82],"AC108037.1, LINC02270","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:12171045
rs7000447-<b>G</b>,"1 x 10-6",,0.448,2.35,'-,[1.65-3.34],"AC090987.1, ASAP1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:130511037
rs7020553-<b>A</b>,"4 x 10-6",,0.345,2.18,'-,[1.55-3.05],"AL355674.1, AL513124.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",9:74095368
rs7112383-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],SLC5A12,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:26719715
rs7137521-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],AC007368.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:126249723
rs7161179-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],AL133467.2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",14:95621923
rs7224314-<b>C</b>,"6 x 10-7",,0.223,2.37,'-,[1.68-3.36],PITPNC1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",17:67390098
rs72974161-<b>A</b>,"2 x 10-7",,0.102,2.83,'-,[1.88-4.26],"AC068492.1, DARS-AS1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:136044886
rs73030953-<b>G</b>,"5 x 10-6",,0.02,4.32,'-,[2.18-8.55],RYR1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",19:38484809
rs73132886-<b>C</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],AP3B1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:78052816
rs73302615-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],JAZF1-AS1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:28232071
rs7344105-<b>G</b>,"2 x 10-6",,0.002,15.21,'-,[3.37-68.63],"PYGB, AL121772.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",20:25245309
rs7358151-<b>G</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],MKX,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:27728643
rs73737676-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"AF093117.1, AC021218.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:156017807
rs73912949-<b>G</b>,"3 x 10-6",,0.007,6.97,'-,[2.7-17.99],"AC093904.1, ASAP2","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:9151105
rs73976923-<b>A</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],"AC055872.3, AIPL1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",17:6379151
rs75646498-<b>A</b>,"8 x 10-7",,0.03,4,'-,[2.21-7.22],"FAM189A1, AC102941.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:29584445
rs7576072-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],AC016766.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:163774442
rs7588010-<b>A</b>,"4 x 10-9",,0.357,2.72,'-,[1.93-3.84],"TACR1, GAPDHP57","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:75246790
rs76096589-<b>A</b>,"7 x 10-6",,0.01,5.83,'-,[2.45-13.86],NIN,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",14:50797408
rs76247873-<b>A</b>,"5 x 10-6",,0.039,3.37,'-,[1.94-5.85],LRP1B,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:140833839
rs76314368-<b>A</b>,"3 x 10-7",,0.022,4.67,'-,[2.46-8.88],"RPL35AP15, AC093534.2","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:117157137
rs76506302-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],FTCDNL1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:199807180
rs76582905-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"TMEM132D, AC055717.2","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:129982086
rs76650652-<b>A</b>,"2 x 10-6",,0.011,5.86,'-,[2.59-13.3],"AC091198.1, CCDC178","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:33508114
rs76684306-<b>G</b>,"1 x 10-7",,0.011,6.56,'-,[2.97-14.49],"FBXL7, AC010638.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:15616567
rs76780579-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],BNC2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",9:16414508
rs76833157-<b>C</b>,"1 x 10-6",,0.008,6.67,'-,[2.75-16.17],AC016766.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:163945275
rs76917448-<b>A</b>,"4 x 10-6",,0.032,3.65,'-,[2.03-6.56],BMPER,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:34075100
rs7693389-<b>G</b>,"7 x 10-6",,0.084,2.66,'-,[1.71-4.14],AC107396.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:57598187
rs77156671-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],"AC074198.1, MARCHF1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:164479668
rs7720886-<b>G</b>,"2 x 10-6",,0.075,2.87,'-,[1.83-4.5],"NREP, STARD4-AS1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:111735928
rs77302254-<b>A</b>,"2 x 10-6",,0.03,3.86,'-,[2.14-6.96],"AC104031.1, GALNT18","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:11572026
rs7733624-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"AC099520.1, AC091987.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:105131414
rs7735563-<b>G</b>,"1 x 10-6",,0.008,6.67,'-,[2.75-16.17],"AC008695.1, RAPGEF6","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:131429243
rs77885874-<b>G</b>,"7 x 10-6",,0.005,7.7,'-,[2.7-21.93],"ALDH7A1, AC093535.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:126512664
rs7819937-<b>?</b>,"3 x 10-6",,0.58129,2.5,'-,[1.69-3.7],CSMD1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:3261257
rs78788148-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],"AC090403.1, LINC01908","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:27286085
rs78894156-<b>G</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],OTOG,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:17620582
rs79014439-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],RIPOR2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:24901633
rs79143957-<b>A</b>,"4 x 10-6",,0.012,5.54,'-,[2.46-12.47],"RPL24P7, SALL4P5","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:23084498
rs74013184-<b>C</b>,"7 x 10-6",,0.006,7.73,'-,[2.71-22.03],CACNG3,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",16:24352448
rs74346392-<b>G</b>,"7 x 10-6",,0.005,7.7,'-,[2.7-21.93],"AL355538.1, LINC01779","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:116219072
rs12568266-<b>A</b>,"6 x 10-10",,0.029,5.02,'-,[2.86-8.8],"EEF1DP6, AL805961.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:4133491
rs1257344-<b>?</b>,"3 x 10-6",,0.511,2.3255813,'-,[1.61-3.33],"AC016910.1, AC079584.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:143840863
rs12622534-<b>A</b>,"2 x 10-6",,0.407,2.26,'-,[1.6-3.19],PRKCE,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:45772849
rs12622686-<b>?</b>,"5 x 10-6",,0.5867,2.4390244,'-,[1.64-3.57],"AC011233.2, EPHA4","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:221342893
rs12722556-<b>A</b>,"2 x 10-6",,0.019,4.6,'-,[2.31-9.16],"AL137186.1, IL2RA","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:6028576
rs12913832-<b>A</b>,"7 x 10-14",,0.233,3.48,'-,[2.47-4.89],HERC2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:28120472
rs13391419-<b>A</b>,"5 x 10-6",,0.026,3.9,'-,[2.08-7.31],"PAX3, RPL23AP28","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:222057197
rs13405366-<b>A</b>,"1 x 10-6",,0.024,4.3,'-,[2.28-8.12],AC073062.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:13542679
rs1346220-<b>G</b>,"2 x 10-6",,0.002,15.45,'-,[3.42-69.69],PARVA,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:12458540
rs141337143-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],"AC006065.1, NDUFA5P6","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:126523324
rs14271-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"CLSTN1, PIK3CD","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:9729092
rs1435547-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],GREB1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:11597965
rs1442808-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],AC022523.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:98221618
rs1479279-<b>G</b>,"2 x 10-6",,0.016,5,'-,[2.42-10.33],"LINC02270, AC108037.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:12097711
rs1491921-<b>C</b>,"7 x 10-7",,0.013,5.69,'-,[2.63-12.33],"AC140172.1, AC093274.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:21259029
rs1555804-<b>G</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],"AL139815.1, MSRB2","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:23104137
rs1672691-<b>A</b>,"2 x 10-7",,0.2,2.5,'-,[1.76-3.55],ZBTB16,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:114071429
rs16841200-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"AC108057.1, AC096589.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:157012356
rs16867528-<b>A</b>,"2 x 10-8",,0.01,7.39,'-,[3.29-16.6],"AC010638.1, FBXL7","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:15607339
rs16867713-<b>G</b>,"7 x 10-6",,0.01,5.83,'-,[2.45-13.86],FBXL7,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:15783391
rs16876083-<b>A</b>,"2 x 10-6",,0.005,8.65,'-,[2.96-25.28],"AC131254.3, AC131254.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:29858745
rs16894878-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],OR5V1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:29419226
rs16928705-<b>A</b>,"7 x 10-6",,0.084,2.67,'-,[1.71-4.15],SLC29A3,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:71336036
rs16964886-<b>A</b>,"5 x 10-6",,0.007,6.77,'-,[2.62-17.46],ASXL3,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:33742030
rs16995986-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],ARHGAP24,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:85772164
rs171165-<b>A</b>,"1 x 10-6",,0.003,11.49,'-,[3.29-40.16],ATRN,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",20:3476969
rs17167307-<b>G</b>,"1 x 10-6",,0.001,34.43,'-,[3.56-333.11],AC011287.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:13644138
rs17461620-<b>A</b>,"5 x 10-6",,0.157,2.34,'-,[1.61-3.41],TUT7,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",9:86348093
rs1877101-<b>G</b>,"7 x 10-6",,0.004,9.55,'-,[2.88-31.66],AC073062.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:13586488
rs188610-<b>A</b>,"1 x 10-6",,0.003,11.49,'-,[3.29-40.16],"AC007406.4, SLC6A12","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:204673
rs190141647-<b>G</b>,"2 x 10-6",,0.003,11.39,'-,[3.26-39.81],RARRES1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:158729995
rs2014791-<b>A</b>,"7 x 10-6",,0.379,2.15,'-,[1.53-3.03],LINC01425,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",21:21773630
rs2279695-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],C12orf49,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:116716457
rs2376682-<b>?</b>,"3 x 10-6",,0.779,4.166667,'-,[2.22-8.33],"RNU7-34P, AC114311.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:118673777
rs2479808-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],CASC15,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:21824163
rs2586731-<b>C</b>,"1 x 10-6",,0.008,6.67,'-,[2.75-16.17],"MRO, MAPK4","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:50790789
rs10048897-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],LINC00528,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",22:17777938
rs10174165-<b>A</b>,"2 x 10-6",,0.075,2.89,'-,[1.84-4.53],AC023787.2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",2:239519464
rs10237103-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],GNAI1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:80032911
rs10268774-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"MTHFD2P5, CACNA2D1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:82453122
rs10435178-<b>A</b>,"4 x 10-6",,0.036,3.55,'-,[2.01-6.27],AC011294.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:46681113
rs10769691-<b>A</b>,"2 x 10-7",,0.072,3.13,'-,[2-4.9],AC068733.3,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:6354579
rs111361850-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,"[3.52 - 329.69]",LINC01091,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:123742201
rs11225569-<b>A</b>,"2 x 10-6",,0.06,3.06,'-,[1.89-4.95],DYNC2H1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:103145464
rs11240285-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"AC096675.1, AL161793.2","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:204798177
